"FileName","ChangeFreq"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation_java","31"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type4ShadingContext_java","30"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDNonTerminalField_java","30"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDCIDFont_java","30"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace_java","29"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type5ShadingContext_java","29"
"pdfbox.src.main.java.org.apache.pdfbox.filter.FlateFilter_java","28"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.state.PDGraphicsState_java","28"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.PDFRenderer_java","28"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField_java","28"
"fontbox.src.main.java.org.apache.fontbox.type1.Type1Parser_java","28"
"preflight.src.main.java.org.apache.pdfbox.preflight.content.PreflightStreamEngine_java","28"
"examples.src.main.java.org.apache.pdfbox.examples.util.PrintImageLocations_java","27"
"pdfbox.src.test.java.org.apache.pdfbox.TestAll_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFField_java","27"
"xmpbox.src.main.java.org.apache.xmpbox.xml.DomXmpParser_java","27"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFFont_java","27"
"examples.src.main.java.org.apache.pdfbox.examples.signature.ShowSignature_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.util.Matrix_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.TrueTypeEmbedder_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.filter.DCTFilter_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateCreator_java","27"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFParser_java","27"
"preflight.src.main.java.org.apache.pdfbox.preflight.content.PreflightContentStream_java","27"
"pdfbox.src.main.java.org.apache.pdfbox.util.ImageIOUtil_java","26"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDPattern_java","26"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFSubsetter_java","26"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDStream_java","26"
"pdfbox.src.main.java.org.apache.pdfbox.util.operator.pagedrawer.Invoke_java","26"
"tools.src.main.java.org.apache.pdfbox.tools.PDFToImage_java","26"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDDeviceRGB_java","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDCIDFontType0_java","25"
"ant.pom_xml","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDPageLabels_java","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.xobject.PDJpeg_java","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type1ShadingContext_java","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.JPEGFactory_java","25"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem_java","24"
"tools.src.main.java.org.apache.pdfbox.tools.WriteDecodedDoc_java","24"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_java","24"
"preflight-app.pom_xml","24"
"tools.src.main.java.org.apache.pdfbox.tools.ExtractText_java","24"
"war.pom_xml","24"
