"FileName","ChangeChurn"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.COSParser_java","4708"
"Resources.cmap.UniHojo-UCS2-H","4418"
"src.main.resources.Resources.cmap.UniHojo-UCS2-H","4418"
"src.main.resources.Resources.glyphlist_txt","4359"
"src.main.resources.Resources.cmap.Adobe-GB1-H-Host","4358"
"Resources.cmap.Adobe-GB1-H-Host","4358"
"fontbox.src.main.java.org.apache.fontbox.cmap.CMapParser_java","4350"
"Resources.cmap.Adobe-GB1-GBK-EUC","4333"
"src.main.resources.Resources.cmap.Adobe-GB1-GBK-EUC","4333"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.glyphlist.glyphlist_txt","4327"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.glyphlist.glyphlist_properties","4299"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.glyphlist_properties","4299"
"Resources.glyphlist_txt","4297"
"test.input.rendering.ARCHIVERGB_ai","4290"
"Resources.cmap.KSC-Johab-H","4279"
"src.main.resources.Resources.cmap.KSC-Johab-H","4279"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.GBK-EUC-H","4273"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.GBKp-EUC-H","4272"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDResources_java","4236"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDFont_java","4148"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSName_java","3886"
"preflight.src.main.java.org.apache.padaf.preflight.ValidationConstants_java","3654"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.BaseParser_java","3648"
"xmpbox.src.main.java.org.apache.xmpbox.xml.DomXmpParser_java","3604"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDTrueTypeFont_java","3451"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFParser_java","3312"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDSimpleFont_java","3248"
"pdfbox.src.main.java.org.apache.pdfbox.pdfwriter.COSWriter_java","3214"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_java","3202"
"fontbox.src.main.java.org.apache.fontbox.ttf.CMAPEncodingEntry_java","3179"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType1Font_java","3176"
"preflight.src.main.java.org.apache.pdfbox.preflight.parser.PreflightParser_java","3135"
"xmpbox.src.main.java.org.apache.xmpbox.schema.XMPSchema_java","3065"
"test.input.rendering.HOTRODCMYK_ai","3063"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFFont_java","3059"
"Resources.afm.Helvetica-Oblique_afm","3051"
"src.main.resources.Resources.afm.Helvetica_afm","3051"
"Resources.afm.Helvetica_afm","3051"
"src.main.resources.Resources.afm.Helvetica-Oblique_afm","3051"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceContentStream_java","3012"
"pdfbox.src.main.java.org.apache.pdfbox.util.PDFTextStripper_java","2985"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext_java","2921"
"preflight.src.main.java.org.apache.pdfbox.preflight.PreflightConstants_java","2890"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.AppearanceGeneratorHelper_java","2847"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_java","2838"
"src.main.resources.Resources.afm.Helvetica-BoldOblique_afm","2827"
"Resources.afm.Helvetica-BoldOblique_afm","2827"
"Resources.afm.Helvetica-Bold_afm","2827"
"src.main.resources.Resources.afm.Helvetica-Bold_afm","2827"
"migration.pdfbox.support_xml","2816"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.XMPMetadata_java","2749"
"Resources.afm.Times-Italic_afm","2667"
"src.main.resources.Resources.afm.Times-Italic_afm","2667"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.ETHK-B5-H","2656"
"Resources.afm.Times-Bold_afm","2588"
"src.main.resources.Resources.afm.Times-Bold_afm","2588"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.DublinCoreSchema_java","2580"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.XMPMediaManagementSchema_java","2527"
"pdfbox.src.test.resources.input.ImageIOUtil.JPXTestCMYK_pdf","2527"
"pdfbox.src.main.java.org.apache.pdfbox.pdfviewer.PageDrawer_java","2490"
"pdfbox.src.main.java.org.apache.pdfbox.util.PDFStreamEngine_java","2460"
"src.main.resources.Resources.afm.Times-Roman_afm","2419"
"Resources.afm.Times-Roman_afm","2419"
"Resources.afm.Times-BoldItalic_afm","2384"
"src.main.resources.Resources.afm.Times-BoldItalic_afm","2384"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDField_java","2380"
"pdfbox.src.main.java.org.apache.pdfbox.encoding.WinAnsiEncoding_java","2364"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKdla-B5-H","2268"
"tools.src.main.java.org.apache.pdfbox.tools.PDFDebugger_java","2258"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.parser.NSMapping_java","2255"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDFieldTreeNode_java","2232"
"src.main.java.org.apache.pdfbox.pdfparser.BaseParser_java","2225"
"jempbox.src.org.jempbox.xmp.XMPSchema_java","2214"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject_java","2204"
"jempbox.src.main.java.org.apache.jempbox.xmp.XMPSchema_java","2198"
"fontbox.src.org.fontbox.afm.AFMParser_java","2178"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.Type3FontValidator_java","2144"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPageContentStream_java","2139"
"preflight.src.main.java.org.apache.padaf.preflight.font.Type1MetricHelper_java","2130"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.Type1MetricHelper_java","2130"
"preflight.src.main.java.org.apache.pdfbox.preflight.metadata.SynchronizedMetaDataValidation_java","2126"
