"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.Type1Glyph2D_java","0","0","0","8","159","0","1","false","2","0","2","2","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFEncoding_java","0","0","0","4","82","0","0","false","4","0","0","1","false"
"preflight.src.test.java.org.apache.pdfbox.preflight.action.pdfa1b.TestNamedAction_java","0","0","0","2","177","0","0","false","1","0","0","0","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.DateType_java","0","0","0","6","101","1","7","false","2","2","1","15","false"
"examples.src.main.java.org.apache.pdfbox.examples.interactive.form.AddBorderToField_java","0","0","0","2","111","0","0","false","1","0","0","0","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.ComplexPropertyContainer_java","1","1","22","8","570","1","5","false","3","1","0","15","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDRectangle_java","0","0","0","13","216","0","6","false","3","2","1","8","false"
"examples.src.main.java.org.apache.pdfbox.examples.interactive.form.SetField_java","0","0","0","4","12","0","0","false","1","0","0","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.action.InvalidAction_java","0","0","0","2","142","1","3","false","4","1","1","12","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type1ShadingContext_java","2","2","15","25","698","1","1","false","3","0","1","1","false"
"xmpbox.src.main.java.org.apache.xmpbox.schema.DublinCoreSchema_java","0","0","0","5","1515","1","8","true","2","2","4","15","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine_java","0","0","0","6","461","1","1","false","2","0","1","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.function.PDFunctionType2_java","0","0","0","13","296","1","2","false","7","0","3","6","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.colorpane.IndexedColorant_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.action.PDActionURI_java","3","3","36","10","173","1","1","false","3","0","1","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.io.RandomAccess_java","0","0","0","8","108","0","0","false","1","1","0","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.state.PDGraphicsState_java","1","1","31","28","392","1","1","false","1","0","1","4","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFISOAdobeCharset_java","0","0","0","5","755","0","0","false","2","0","0","0","false"
